drug_a	drug_b	cell_line	label	fold
5-Fluorouracil	Navitoclax	HCT-15	0	0
Axitinib	MK-2206	UACC-812	0	0
MK-1775	Galunisertib	HuP-T3	0	0
5-Fluorouracil	MK-2206	CL-11	0	0
Navitoclax	AZD8055	SW620	1	0
Sapitinib	Sorafenib	MRK-nu-1	0	0
Axitinib	NU7441	MDA-MB-175-VII	0	0
Bortezomib	Entinostat	HCC1187	0	0
Palbociclib	Uprosertib	BT-474	0	0
MK-2206	Taselisib	HCC1187	0	0
Vorinostat	GSK269962A	MRK-nu-1	0	0
Taselisib	SCH772984	BT-474	0	0
Oxaliplatin	5-Fluorouracil	PSN1	0	0
Linsitinib	Palbociclib	SU8686	0	0
Sapitinib	Olaparib	AU565	0	0
Axitinib	Trametinib	CAL-120	0	0
Taselisib	Oxaliplatin	SNU-175	0	0
Trametinib	Dasatinib	KP-3	1	0
Navitoclax	AZD6482	MDA-MB-436	0	0
Axitinib	Wee1 Inhibitor	MDA-MB-175-VII	0	0
Palbociclib	BMS-754807	CCK-81	0	0
5-Fluorouracil	Docetaxel	MDA-MB-175-VII	0	0
Pictilisib	SB216763	MRK-nu-1	0	0
OSI-027	Cisplatin	CAL-120	0	0
Crizotinib	AZD8055	SNU-175	0	0
PD173074	SB216763	Hs-578-T	0	0
Palbociclib	Sapitinib	BT-474	0	0
Linsitinib	Trametinib	SK-CO-1	0	0
SB216763	5-Fluorouracil	SW620	0	0
Axitinib	Linsitinib	MRK-nu-1	0	0
Navitoclax	Camptothecin	MRK-nu-1	1	0
PD173074	Navitoclax	MDA-MB-436	0	0
Vorinostat	Navitoclax	HCC1187	0	0
Axitinib	BI-2536	CAL-120	0	0
Crizotinib	Navitoclax	SU8686	0	0
Gemcitabine	Wee1 Inhibitor	BT-474	0	0
Linsitinib	Taselisib	Hs-578-T	0	0
Taselisib	Wee1 Inhibitor	BT-474	0	0
PD173074	MK-1775	CAMA-1	0	0
AZD7762	Linsitinib	MDA-MB-436	0	0
Paclitaxel	Cisplatin	KP-3	0	0
Trametinib	RO-3306	BT-474	0	0
Pictilisib	JQ1	CAMA-1	0	0
OSI-027	Crizotinib	CAL-120	1	0
Sapitinib	SCH772984	KM12	0	0
Navitoclax	Luminespib	MRK-nu-1	0	0
Navitoclax	Luminespib	CAMA-1	0	0
Gemcitabine	Paclitaxel	MDA-MB-436	0	0
Linsitinib	OSI-027	KP-3	0	0
SB505124	Linsitinib	HCT-116	0	0
Navitoclax	AZD4547	RCM-1	0	0
Afatinib	MK-2206	SW620	0	0
Linsitinib	Gemcitabine	HCC1187	0	0
Taselisib	5-Fluorouracil	KP-3	0	0
Linsitinib	OSI-027	CAMA-1	0	0
OSI-027	5-Fluorouracil	PSN1	0	0
Crizotinib	GSK269962A	MDA-MB-175-VII	0	0
Olaparib	SCH772984	MDA-MB-175-VII	0	0
Navitoclax	MK-2206	DiFi	0	0
Dabrafenib	Linsitinib	SK-CO-1	0	0
Vorinostat	Gemcitabine	HCC1187	0	0
Ruxolitinib	Trametinib	HuP-T3	0	0
Crizotinib	Ribociclib	AU565	0	0
Navitoclax	OSI-027	MDA-MB-175-VII	1	0
Axitinib	Wee1 Inhibitor	MRK-nu-1	0	0
Docetaxel	Pictilisib	MRK-nu-1	0	0
Cisplatin	Axitinib	CAMA-1	0	0
Trametinib	Sapitinib	UACC-812	0	0
Linsitinib	Vinorelbine	DiFi	0	0
Axitinib	Tozasertib	MDA-MB-436	0	0
Palbociclib	JQ1	BT-474	0	0
Lapatinib	JQ1	BT-474	1	0
Afatinib	MK-1775	SW620	0	0
MK-2206	Alisertib	MRK-nu-1	0	0
MK-2206	Galunisertib	SU8686	0	0
SB216763	Oxaliplatin	RCM-1	0	0
Temozolomide	Trametinib	BT-474	0	0
LGK974	AZD7762	SK-CO-1	0	0
AZD4547	Palbociclib	SK-CO-1	0	0
Dasatinib	5-Fluorouracil	KP-2	0	0
Camptothecin	MK-2206	DiFi	0	0
AZD8055	SCH772984	SNU-175	0	0
MK-1775	Sapitinib	MDA-MB-175-VII	0	0
Trametinib	Sorafenib	PSN1	0	0
5-Fluorouracil	PF-4708671	MDA-MB-175-VII	0	0
MK-2206	GSK269962A	MDA-MB-436	0	0
MK-2206	MK-1775	CAL-120	0	0
AZD7762	Gemcitabine	MRK-nu-1	0	0
Palbociclib	Crizotinib	KP-3	0	0
Trametinib	Afatinib	SNU-175	0	0
Taselisib	Axitinib	BT-474	0	0
Crizotinib	Docetaxel	MDA-MB-436	0	0
Vinorelbine	Olaparib	SNU-175	0	0
PD173074	Ribociclib	MRK-nu-1	0	0
Palbociclib	Linsitinib	KM12	1	0
Linsitinib	AZD6482	Hs-578-T	0	0
Lapatinib	5-Fluorouracil	Hs-578-T	0	0
Axitinib	Gemcitabine	AU565	0	0
Afatinib	AZD7762	DiFi	0	0
Linsitinib	AZD7762	UACC-812	0	0
MK-2206	LGK974	SK-CO-1	0	0
Trametinib	BI-2536	MRK-nu-1	0	0
SB505124	SB216763	RCM-1	0	0
Bortezomib	Wee1 Inhibitor	CAMA-1	0	0
Erlotinib	Oxaliplatin	PSN1	0	0
Pictilisib	Luminespib	HCC1187	0	0
AZD7762	SCH772984	HCT-116	0	0
Linsitinib	Sapitinib	CL-11	0	0
5-Fluorouracil	JQ1	MDA-MB-175-VII	0	0
Galunisertib	Crizotinib	PSN1	0	0
5-Fluorouracil	Vinorelbine	RCM-1	0	0
Bortezomib	Trametinib	UACC-812	0	0
LGK974	SCH772984	KP-3	0	0
Gemcitabine	Alpelisib	BT-474	0	0
SCH772984	BMS-754807	CCK-81	0	0
5-Fluorouracil	Pictilisib	AU565	0	0
Irinotecan	Dasatinib	SU8686	0	0
Sapitinib	Sorafenib	AU565	0	0
AZD7762	Cisplatin	KP-2	0	0
AZD8055	Trametinib	RCM-1	0	0
Axitinib	Linsitinib	AU565	0	0
Crizotinib	Vorinostat	MDA-MB-436	0	0
5-Fluorouracil	Tozasertib	BT-474	0	0
BMS-754807	AZD7762	HCT-116	1	0
SCH772984	LGK974	SK-CO-1	0	0
BMS-754807	Afatinib	KM12	0	0
Trametinib	Sapitinib	CL-11	0	0
SCH772984	AZD7762	SNU-175	0	0
AZD7762	5-Fluorouracil	KM12	0	0
Bortezomib	Cisplatin	AU565	0	0
Palbociclib	AZD4547	SNU-175	0	0
Vorinostat	Lapatinib	HCC1187	1	0
BMS-754807	SCH772984	SNU-175	0	0
PD173074	BI-2536	MDA-MB-175-VII	0	0
LGK974	Dabrafenib	SNU-175	0	0
MK-2206	Camptothecin	DiFi	0	0
Taselisib	AZD8055	DiFi	0	0
AZD7762	ZM447439	MRK-nu-1	0	0
Pictilisib	Palbociclib	UACC-812	1	0
AZD8055	Sapitinib	SK-CO-1	0	0
Linsitinib	NU7441	CAL-120	1	0
Crizotinib	GSK269962A	AU565	0	0
Crizotinib	MK-1775	HCC1187	0	0
Crizotinib	SCH772984	CAMA-1	0	0
Taselisib	Entinostat	MDA-MB-436	0	0
Gemcitabine	Axitinib	UACC-812	0	0
AZD8055	Trametinib	SK-CO-1	0	0
Lapatinib	Sapitinib	HCC1187	0	0
Navitoclax	LGK974	CCK-81	0	0
Sapitinib	Olaparib	CAMA-1	0	0
Trametinib	Bortezomib	CAL-120	0	0
Lapatinib	MK-1775	MDA-MB-436	0	0
Palbociclib	Entinostat	HCC1187	0	0
Galunisertib	Erlotinib	KP-3	0	0
BMS-754807	Linsitinib	SNU-175	0	0
OSI-027	Uprosertib	AU565	0	0
Palbociclib	MK-2206	KP-3	0	0
OSI-027	Cisplatin	CAMA-1	0	0
Crizotinib	PF-4708671	MDA-MB-436	0	0
Oxaliplatin	Crizotinib	KM12	0	0
MK-2206	Cisplatin	CAMA-1	0	0
Temozolomide	Dabrafenib	AU565	0	0
Vinorelbine	Navitoclax	SNU-175	1	0
Vinorelbine	Navitoclax	KM12	0	0
AZD4547	Dabrafenib	SNU-175	0	0
Vorinostat	PF-4708671	CAL-120	0	0
Temozolomide	Paclitaxel	AU565	0	0
Olaparib	OSI-027	KP-3	0	0
SB216763	Navitoclax	SNU-175	0	0
SCH772984	Trametinib	HuP-T3	0	0
Erlotinib	Gemcitabine	PSN1	0	0
Crizotinib	Navitoclax	CAL-120	0	0
Linsitinib	Tozasertib	AU565	1	0
MK-1775	OSI-027	CAL-120	0	0
Vorinostat	Navitoclax	CAL-120	0	0
Olaparib	Entinostat	BT-474	0	0
Olaparib	PD173074	CAMA-1	0	0
PD173074	Tozasertib	BT-474	0	0
Linsitinib	Tozasertib	MRK-nu-1	0	0
Olaparib	RO-3306	CAMA-1	0	0
Palbociclib	Docetaxel	AU565	0	0
Sapitinib	Doramapimod	Hs-578-T	0	0
SB505124	SCH772984	CL-11	0	0
Lapatinib	Trametinib	MDA-MB-436	0	0
Afatinib	SB216763	SNU-175	0	0
Docetaxel	ZM447439	CAMA-1	0	0
SB505124	MK-2206	DiFi	0	0
Vinorelbine	AZD8055	SNU-175	0	0
5-Fluorouracil	Gemcitabine	MRK-nu-1	0	0
Crizotinib	JQ1	MDA-MB-175-VII	0	0
AZD7762	Palbociclib	SU8686	0	0
Temozolomide	Crizotinib	CAMA-1	0	0
Oxaliplatin	MK-2206	CL-11	0	0
5-Fluorouracil	Oxaliplatin	PSN1	0	0
MK-2206	BI-2536	Hs-578-T	0	0
SB505124	AZD4547	RCM-1	0	0
LGK974	Vinorelbine	SK-CO-1	0	0
Luminespib	Trametinib	CAL-120	1	0
AZD7762	Palbociclib	CCK-81	0	0
Camptothecin	Dabrafenib	RCM-1	0	0
Sapitinib	Linsitinib	SNU-175	1	0
Vorinostat	OSI-027	AU565	0	0
Ruxolitinib	MK-1775	SU8686	0	0
Cisplatin	Palbociclib	BT-474	0	0
Taselisib	BMS-754807	KM12	0	0
Taselisib	Sorafenib	BT-474	0	0
Sapitinib	Sorafenib	BT-474	0	0
Oxaliplatin	Crizotinib	SW620	0	0
Cisplatin	Alpelisib	AU565	0	0
Bortezomib	Navitoclax	MRK-nu-1	0	0
5-Fluorouracil	Camptothecin	SW620	0	0
MK-2206	AZD8055	RCM-1	0	0
Sorafenib	Crizotinib	KP-3	0	0
Sapitinib	KU-55933	MDA-MB-436	0	0
MK-1775	Lapatinib	SU8686	0	0
AZD4547	SCH772984	CL-11	0	0
Sapitinib	SB505124	CCK-81	0	0
Crizotinib	Dabrafenib	CCK-81	0	0
AZD7762	Linsitinib	AU565	0	0
Afatinib	Palbociclib	SNU-175	0	0
5-Fluorouracil	Vinorelbine	CCK-81	0	0
Cisplatin	OSI-027	KP-3	0	0
SB216763	AZD8055	HCT-116	0	0
Luminespib	Trametinib	Hs-578-T	0	0
OSI-027	Doramapimod	MRK-nu-1	0	0
Afatinib	Crizotinib	KM12	0	0
Ruxolitinib	MK-2206	SU8686	0	0
Luminespib	Docetaxel	MDA-MB-436	0	0
Sorafenib	Dactolisib	KP-2	0	0
5-Fluorouracil	Palbociclib	KP-3	0	0
AZD7762	AZD8055	CCK-81	1	0
SCH772984	LGK974	KM12	0	0
Temozolomide	Axitinib	MRK-nu-1	0	0
PD173074	Pictilisib	UACC-812	0	0
Crizotinib	Alisertib	Hs-578-T	0	0
Sapitinib	Palbociclib	CL-11	0	0
Crizotinib	Afatinib	HCT-116	0	0
Temozolomide	OSI-027	HCC1187	0	0
Sapitinib	RO-3306	CAL-120	0	0
Navitoclax	Cisplatin	KP-2	1	0
Taselisib	Ribociclib	MRK-nu-1	0	0
Erlotinib	Irinotecan	SU8686	0	0
Axitinib	JQ1	MDA-MB-436	0	0
Linsitinib	SB216763	HCT-116	0	0
Axitinib	Sapitinib	MDA-MB-175-VII	0	0
Axitinib	MK-1775	BT-474	0	0
Palbociclib	Linsitinib	MDA-MB-436	0	0
Taselisib	Nilotinib	Hs-578-T	0	0
Axitinib	Cisplatin	UACC-812	0	0
5-Fluorouracil	Erlotinib	SU8686	0	0
MK-1775	Olaparib	RCM-1	0	0
Pictilisib	RO-3306	CAMA-1	0	0
AZD7762	5-Fluorouracil	AU565	1	0
Crizotinib	Olaparib	CAMA-1	0	0
OSI-027	Taselisib	PSN1	0	0
Bortezomib	AZD6482	CAL-120	0	0
Linsitinib	Ribociclib	BT-474	0	0
Afatinib	Trametinib	SK-CO-1	0	0
Docetaxel	Crizotinib	MDA-MB-175-VII	0	0
Temozolomide	MK-1775	MDA-MB-436	0	0
Olaparib	Navitoclax	DiFi	0	0
OSI-027	Linsitinib	KP-2	1	0
AZD7762	PF-4708671	AU565	0	0
Cisplatin	Docetaxel	MRK-nu-1	0	0
OSI-027	Ribociclib	BT-474	0	0
Palbociclib	Entinostat	BT-474	0	0
Galunisertib	Taselisib	SU8686	0	0
OSI-027	Pictilisib	BT-474	0	0
AZD8055	Navitoclax	SW620	0	0
Dabrafenib	Afatinib	SW620	0	0
AZD8055	Oxaliplatin	DiFi	0	0
Bortezomib	Ribociclib	MDA-MB-175-VII	0	0
Lapatinib	Crizotinib	BT-474	1	0
AZD8055	Oxaliplatin	RCM-1	0	0
Olaparib	Palbociclib	SU8686	0	0
Lapatinib	Dasatinib	PSN1	0	0
Cisplatin	Venetoclax	Hs-578-T	0	0
Cisplatin	SB216763	Hs-578-T	0	0
Taselisib	Gemcitabine	MRK-nu-1	0	0
Dactolisib	Palbociclib	KP-2	0	0
MK-1775	Olaparib	CAL-120	0	0
Palbociclib	Navitoclax	DiFi	0	0
Palbociclib	Olaparib	CAMA-1	0	0
Navitoclax	Taselisib	CCK-81	0	0
Temozolomide	Cisplatin	CAL-120	0	0
AZD8055	Dabrafenib	HCT-116	0	0
Docetaxel	Dabrafenib	MDA-MB-175-VII	0	0
Docetaxel	Wee1 Inhibitor	MDA-MB-175-VII	0	0
Palbociclib	OSI-027	UACC-812	0	0
OSI-027	Erlotinib	SU8686	0	0
Linsitinib	5-Fluorouracil	DiFi	0	0
Vinorelbine	5-Fluorouracil	CL-11	0	0
Luminespib	AZD6482	MDA-MB-436	0	0
5-Fluorouracil	Olaparib	MDA-MB-175-VII	0	0
Afatinib	AZD4547	SK-CO-1	0	0
AZD7762	BI-2536	Hs-578-T	0	0
Linsitinib	Docetaxel	UACC-812	0	0
Paclitaxel	Olaparib	SU8686	0	0
Gemcitabine	Axitinib	AU565	0	0
Taselisib	Dasatinib	KP-2	1	0
MK-2206	Sorafenib	HCC1187	0	0
Gemcitabine	JQ1	MDA-MB-175-VII	0	0
Gemcitabine	AZD7762	CAMA-1	0	0
Sapitinib	AZD4547	CCK-81	1	0
MK-1775	Linsitinib	CCK-81	0	0
Galunisertib	Dasatinib	KP-2	0	0
Sapitinib	SCH772984	HCT-116	0	0
LGK974	5-Fluorouracil	PSN1	0	0
AZD8055	Oxaliplatin	KM12	0	0
OSI-027	Ribociclib	MDA-MB-436	0	0
Taselisib	Palbociclib	KM12	0	0
MK-1775	AZD8055	KM12	0	0
5-Fluorouracil	MK-1775	PSN1	0	0
Olaparib	Afatinib	CAL-120	0	0
Axitinib	Afatinib	Hs-578-T	0	0
Taselisib	KU-55933	AU565	0	0
Sapitinib	Vinorelbine	KM12	0	0
Taselisib	Olaparib	BT-474	0	0
AZD7762	Olaparib	BT-474	0	0
Lapatinib	Ribociclib	CAMA-1	0	0
MK-1775	Navitoclax	PSN1	1	0
Palbociclib	Camptothecin	CL-11	0	0
Oxaliplatin	Irinotecan	PSN1	0	0
Navitoclax	Taselisib	Hs-578-T	0	0
Bortezomib	Alisertib	MDA-MB-436	0	0
Pictilisib	Crizotinib	UACC-812	0	0
Gemcitabine	Wee1 Inhibitor	CAL-120	0	0
5-Fluorouracil	Lapatinib	HuP-T3	0	0
LGK974	Palbociclib	CL-11	0	0
MK-1775	5-Fluorouracil	DiFi	0	0
Crizotinib	Navitoclax	SNU-175	1	0
Temozolomide	Sorafenib	MRK-nu-1	0	0
MK-1775	PD173074	MDA-MB-175-VII	0	0
Palbociclib	5-Fluorouracil	HCT-116	0	0
Olaparib	Taselisib	HCT-116	0	0
Trametinib	Nilotinib	HCC1187	0	0
Trametinib	GSK269962A	AU565	0	0
MK-2206	MK-1775	CL-11	0	0
Crizotinib	AZD7762	SK-CO-1	0	0
MK-1775	Navitoclax	CL-11	0	0
MK-1775	Olaparib	MDA-MB-436	0	0
Galunisertib	Crizotinib	SU8686	0	0
Sapitinib	MK-1775	RCM-1	0	0
Temozolomide	Crizotinib	HCC1187	0	0
Trametinib	OSI-027	HCC1187	0	0
Trametinib	Cisplatin	SU8686	0	0
Gemcitabine	OSI-027	HCC1187	0	0
Linsitinib	5-Fluorouracil	RCM-1	0	0
MK-1775	SB505124	KM12	0	0
Palbociclib	OSI-027	MRK-nu-1	0	0
Navitoclax	AZD8055	SK-CO-1	1	0
Palbociclib	Dabrafenib	MDA-MB-175-VII	0	0
5-Fluorouracil	Ribociclib	BT-474	0	0
Sorafenib	Navitoclax	HuP-T3	0	0
Bortezomib	Wee1 Inhibitor	MDA-MB-436	0	0
PD173074	Alpelisib	HCC1187	0	0
Bortezomib	Docetaxel	MDA-MB-436	0	0
Navitoclax	Sorafenib	CAMA-1	0	0
Crizotinib	Trametinib	AU565	0	0
Taselisib	ZM447439	BT-474	0	0
5-Fluorouracil	Olaparib	RCM-1	0	0
Temozolomide	Nilotinib	CAL-120	0	0
Cisplatin	Trametinib	MRK-nu-1	0	0
Temozolomide	Luminespib	CAL-120	0	0
SCH772984	SB505124	HCT-116	0	0
MK-2206	Taselisib	Hs-578-T	0	0
Palbociclib	Dabrafenib	CL-11	0	0
Vorinostat	Sorafenib	BT-474	0	0
Axitinib	Sapitinib	BT-474	0	0
Sapitinib	Nilotinib	MDA-MB-436	0	0
Taselisib	Paclitaxel	SU8686	0	0
Ruxolitinib	Dasatinib	HuP-T3	0	0
SB216763	Sapitinib	SK-CO-1	0	0
Cisplatin	Palbociclib	UACC-812	0	0
Lapatinib	SCH772984	MDA-MB-175-VII	1	0
MK-2206	SCH772984	RCM-1	0	0
MK-2206	Afatinib	HCC1187	0	0
SCH772984	Sapitinib	DiFi	0	0
Cisplatin	Pictilisib	Hs-578-T	0	0
Temozolomide	Camptothecin	BT-474	0	0
MK-1775	NU7441	HCC1187	0	0
Linsitinib	SB216763	KM12	0	0
Palbociclib	Paclitaxel	KP-2	0	0
MK-2206	AZD7762	KP-3	0	0
MK-1775	Navitoclax	CAMA-1	0	0
Cisplatin	Camptothecin	Hs-578-T	0	0
AZD8055	Olaparib	KM12	0	0
Crizotinib	Entinostat	MRK-nu-1	0	0
Linsitinib	Sorafenib	MDA-MB-175-VII	0	0
Palbociclib	Sapitinib	HCC1187	0	0
Pictilisib	Uprosertib	MDA-MB-436	0	0
MK-2206	SB216763	BT-474	0	0
Trametinib	OSI-027	MRK-nu-1	0	0
MK-2206	Linsitinib	RCM-1	0	0
Docetaxel	Entinostat	CAMA-1	0	0
Palbociclib	Axitinib	HCC1187	0	0
Linsitinib	MK-1775	BT-474	0	0
Oxaliplatin	Dabrafenib	KM12	0	0
Taselisib	Docetaxel	MRK-nu-1	0	0
Linsitinib	Taselisib	HCT-15	0	0
AZD7762	Entinostat	BT-474	0	0
AZD8055	MK-2206	CL-11	0	0
AZD8055	SCH772984	DiFi	0	0
Lapatinib	SCH772984	HuP-T3	0	0
Paclitaxel	Sorafenib	PSN1	0	0
Navitoclax	Nilotinib	AU565	0	0
5-Fluorouracil	Dasatinib	HuP-T3	0	0
Sorafenib	LGK974	KP-2	0	0
5-Fluorouracil	Uprosertib	CAMA-1	0	0
Axitinib	Ribociclib	BT-474	0	0
Sapitinib	Palbociclib	CCK-81	0	0
AZD7762	Trametinib	SW620	0	0
PD173074	Vorinostat	CAL-120	0	0
Gemcitabine	Sorafenib	AU565	0	0
Crizotinib	NU7441	CAL-120	1	0
Gemcitabine	Linsitinib	KP-3	0	0
Navitoclax	5-Fluorouracil	HCT-116	0	0
Palbociclib	Gemcitabine	BT-474	0	0
Luminespib	JQ1	MRK-nu-1	0	0
Erlotinib	Ruxolitinib	SU8686	0	0
AZD4547	Oxaliplatin	SW620	0	0
5-Fluorouracil	SB505124	HCT-116	0	0
Gemcitabine	Olaparib	MRK-nu-1	0	0
Afatinib	Dabrafenib	SNU-175	0	0
5-Fluorouracil	Oxaliplatin	KP-3	0	0
Crizotinib	Alpelisib	BT-474	0	0
LGK974	MK-2206	CL-11	0	0
Erlotinib	Trametinib	KP-2	0	0
AZD4547	Crizotinib	CL-11	0	0
5-Fluorouracil	LGK974	CL-11	0	0
Trametinib	Olaparib	SU8686	0	0
5-Fluorouracil	Linsitinib	MDA-MB-175-VII	0	0
Sapitinib	OSI-027	BT-474	0	0
Oxaliplatin	MK-1775	DiFi	0	0
Camptothecin	SCH772984	SK-CO-1	0	0
SB505124	SCH772984	HCT-116	0	0
OSI-027	Olaparib	MDA-MB-175-VII	0	0
Docetaxel	PD173074	MDA-MB-175-VII	0	0
Luminespib	Uprosertib	HCC1187	0	0
Dactolisib	Gemcitabine	SU8686	0	0
Pictilisib	ZM447439	MDA-MB-436	0	0
Cisplatin	AZD7762	CAMA-1	0	0
LGK974	MK-1775	SNU-175	0	0
Camptothecin	Crizotinib	HCT-15	0	0
Gemcitabine	5-Fluorouracil	AU565	0	0
SB505124	MK-2206	KM12	0	0
SB505124	MK-1775	HCT-15	0	0
Bortezomib	PD173074	UACC-812	0	0
Olaparib	Temozolomide	HCC1187	0	0
Cisplatin	Docetaxel	HCC1187	0	0
Crizotinib	Dabrafenib	HCC1187	0	0
Gemcitabine	Vorinostat	CAL-120	0	0
Linsitinib	LGK974	HuP-T3	0	0
MK-1775	LGK974	CCK-81	0	0
Trametinib	JQ1	AU565	0	0
Crizotinib	Afatinib	CAL-120	0	0
Vorinostat	Axitinib	BT-474	0	0
Temozolomide	Entinostat	CAL-120	0	0
Sorafenib	Linsitinib	KP-2	1	0
Olaparib	Docetaxel	Hs-578-T	0	0
MK-1775	AZD8055	SK-CO-1	0	0
LGK974	Trametinib	SK-CO-1	0	0
Axitinib	BI-2536	CAMA-1	0	0
Palbociclib	Dabrafenib	HCT-116	0	0
LGK974	MK-2206	SNU-175	0	0
Gemcitabine	Bortezomib	MDA-MB-436	0	0
Bortezomib	ZM447439	HCC1187	0	0
PD173074	Navitoclax	BT-474	0	0
Lapatinib	NU7441	AU565	0	0
Taselisib	Olaparib	RCM-1	0	0
Crizotinib	MK-2206	AU565	0	0
Crizotinib	Dabrafenib	DiFi	0	0
Cisplatin	5-Fluorouracil	MDA-MB-436	0	0
Taselisib	Alisertib	AU565	0	0
Crizotinib	Linsitinib	Hs-578-T	0	0
LGK974	Vinorelbine	SW620	0	0
5-Fluorouracil	AZD7762	AU565	1	0
Linsitinib	SB216763	HCT-15	0	0
Linsitinib	Taselisib	DiFi	0	0
BMS-754807	Dabrafenib	SK-CO-1	0	0
Vorinostat	Bortezomib	CAL-120	0	0
OSI-027	KU-55933	Hs-578-T	0	0
Temozolomide	Camptothecin	Hs-578-T	0	0
MK-2206	Luminespib	CAMA-1	0	0
Cisplatin	ZM447439	AU565	0	0
Vorinostat	Nilotinib	CAL-120	0	0
Docetaxel	MK-2206	CAL-120	0	0
Linsitinib	RO-3306	CAL-120	0	0
Irinotecan	Olaparib	SU8686	0	0
Gemcitabine	Taselisib	CAL-120	0	0
Camptothecin	Dabrafenib	SW620	0	0
Crizotinib	Palbociclib	PSN1	0	0
Crizotinib	MK-2206	SU8686	0	0
Irinotecan	Taselisib	HuP-T3	0	0
Navitoclax	MK-1775	PSN1	0	0
Gemcitabine	Nilotinib	MDA-MB-436	0	0
Sapitinib	Nilotinib	MRK-nu-1	0	0
Bortezomib	Alpelisib	MDA-MB-175-VII	0	0
AZD7762	Olaparib	SNU-175	0	0
Cisplatin	Alpelisib	HCC1187	0	0
AZD4547	Taselisib	CCK-81	0	0
Lapatinib	Erlotinib	SU8686	0	0
Navitoclax	SCH772984	SW620	1	0
5-Fluorouracil	Ruxolitinib	HuP-T3	0	0
Lapatinib	Irinotecan	SU8686	0	0
Olaparib	ZM447439	BT-474	0	0
Trametinib	MK-1775	MRK-nu-1	0	0
Vinorelbine	Dabrafenib	DiFi	0	0
Crizotinib	Wee1 Inhibitor	MRK-nu-1	0	0
Gemcitabine	Sorafenib	MRK-nu-1	0	0
Temozolomide	MK-2206	CAMA-1	0	0
Linsitinib	SCH772984	HCC1187	0	0
Palbociclib	GSK269962A	MDA-MB-436	0	0
MK-2206	Olaparib	HCT-116	0	0
Ruxolitinib	Galunisertib	KP-2	0	0
Sapitinib	ZM447439	CAL-120	0	0
SB505124	Vinorelbine	CCK-81	0	0
Navitoclax	KU-55933	MRK-nu-1	0	0
Bortezomib	RO-3306	CAL-120	0	0
5-Fluorouracil	MK-2206	KP-3	0	0
5-Fluorouracil	SB216763	HCT-116	0	0
Lapatinib	Cisplatin	MRK-nu-1	0	0
Lapatinib	Ribociclib	MRK-nu-1	0	0
Taselisib	OSI-027	CAL-120	1	0
Lapatinib	MK-1775	UACC-812	0	0
SB505124	Linsitinib	SNU-175	0	0
BMS-754807	Crizotinib	DiFi	0	0
MK-1775	Olaparib	SNU-175	0	0
Axitinib	Navitoclax	CAL-120	0	0
OSI-027	Tozasertib	CAMA-1	0	0
Trametinib	MK-1775	CCK-81	0	0
Cisplatin	Paclitaxel	HuP-T3	0	0
SB216763	Crizotinib	CL-11	0	0
Lapatinib	Palbociclib	SU8686	0	0
Vorinostat	Afatinib	HCC1187	0	0
Taselisib	Oxaliplatin	RCM-1	0	0
Olaparib	LGK974	SW620	0	0
Docetaxel	Doramapimod	Hs-578-T	0	0
Docetaxel	MK-2206	BT-474	0	0
Docetaxel	ZM447439	CAL-120	0	0
Crizotinib	Taselisib	UACC-812	0	0
Erlotinib	Olaparib	KP-3	0	0
SB216763	Taselisib	HCT-116	0	0
Bortezomib	Gemcitabine	UACC-812	0	0
Temozolomide	Cisplatin	AU565	0	0
5-Fluorouracil	Vinorelbine	SW620	0	0
Cisplatin	Navitoclax	BT-474	0	0
MK-1775	MK-2206	SW620	0	0
Crizotinib	Vorinostat	UACC-812	0	0
Camptothecin	MK-2206	SW620	0	0
OSI-027	Alpelisib	MDA-MB-436	0	0
LGK974	Oxaliplatin	SW620	0	0
Olaparib	Luminespib	AU565	0	0
MK-1775	MK-2206	HuP-T3	0	0
PD173074	AZD6482	CAL-120	0	0
Olaparib	Afatinib	BT-474	0	0
Gemcitabine	Alpelisib	CAMA-1	0	0
Trametinib	5-Fluorouracil	HCC1187	0	0
Crizotinib	Entinostat	AU565	0	0
Linsitinib	Oxaliplatin	DiFi	0	0
Pictilisib	GSK269962A	Hs-578-T	0	0
Navitoclax	Crizotinib	KM12	0	0
MK-1775	Axitinib	AU565	0	0
Trametinib	Taselisib	HCT-15	1	0
Pictilisib	Venetoclax	MRK-nu-1	0	0
Vinorelbine	AZD8055	HCT-116	0	0
Crizotinib	Doramapimod	CAMA-1	0	0
SB505124	LGK974	SK-CO-1	0	0
Trametinib	Palbociclib	HCT-116	1	0
Crizotinib	Pictilisib	Hs-578-T	0	0
Navitoclax	Gemcitabine	MRK-nu-1	1	0
Cisplatin	Crizotinib	AU565	0	0
MK-1775	Ruxolitinib	HuP-T3	0	0
Linsitinib	GSK269962A	BT-474	0	0
Afatinib	BMS-754807	CL-11	0	0
Olaparib	Docetaxel	BT-474	0	0
Pictilisib	BI-2536	MRK-nu-1	0	0
Temozolomide	Sapitinib	CAMA-1	0	0
AZD8055	Navitoclax	KM12	0	0
MK-2206	Erlotinib	KP-3	0	0
Sapitinib	SCH772984	SW620	0	0
AZD7762	Tozasertib	BT-474	0	0
Docetaxel	Sorafenib	AU565	0	0
Erlotinib	MK-1775	KP-3	0	0
Sapitinib	GSK269962A	MDA-MB-175-VII	0	0
SCH772984	Taselisib	HuP-T3	1	0
